VCC	3.3	Max ADC	4096	Pull Down	10000	Thermistor	10000				
ADC Value (0-4096)	Ratio	Voltage	Thermistor Resistance	Temperature (K)	Temperature (C)						
0	0	0	0	#NUM!	#NUM!						
408	0.099609375	0.3287109375	1106.290672	357.04	83.89						
412	0.1005859375	0.3319335938	1118.34962	356.70	83.55						
416	0.1015625	0.33515625	1130.434783	356.37	83.22						
420	0.1025390625	0.3383789063	1142.546246	356.03	82.88						
424	0.103515625	0.3416015625	1154.684096	355.70	82.55						
428	0.1044921875	0.3448242188	1166.848419	355.38	82.23						
432	0.10546875	0.348046875	1179.039301	355.06	81.91						
436	0.1064453125	0.3512695313	1191.256831	354.74	81.59						
440	0.107421875	0.3544921875	1203.501094	354.42	81.27						
444	0.1083984375	0.3577148438	1215.77218	354.11	80.96						
448	0.109375	0.3609375	1228.070175	353.80	80.65						
452	0.1103515625	0.3641601563	1240.39517	353.49	80.34						
456	0.111328125	0.3673828125	1252.747253	353.19	80.04						
460	0.1123046875	0.3706054688	1265.126513	352.88	79.73						
464	0.11328125	0.373828125	1277.53304	352.59	79.44						
468	0.1142578125	0.3770507813	1289.966924	352.29	79.14						
472	0.115234375	0.3802734375	1302.428256	352.00	78.85						
476	0.1162109375	0.3834960938	1314.917127	351.70	78.55						
480	0.1171875	0.38671875	1327.433628	351.42	78.27						
484	0.1181640625	0.3899414063	1339.977852	351.13	77.98						
488	0.119140625	0.3931640625	1352.549889	350.85	77.70						
492	0.1201171875	0.3963867188	1365.149834	350.56	77.41						
496	0.12109375	0.399609375	1377.777778	350.29	77.14						
500	0.1220703125	0.4028320313	1390.433815	350.01	76.86						
504	0.123046875	0.4060546875	1403.11804	349.74	76.59						
508	0.1240234375	0.4092773438	1415.830546	349.46	76.31						
512	0.125	0.4125	1428.571429	349.19	76.04						
516	0.1259765625	0.4157226563	1441.340782	348.93	75.78						
520	0.126953125	0.4189453125	1454.138702	348.66	75.51						
524	0.1279296875	0.4221679688	1466.965286	348.40	75.25						
528	0.12890625	0.425390625	1479.820628	348.14	74.99						
532	0.1298828125	0.4286132813	1492.704826	347.88	74.73						
536	0.130859375	0.4318359375	1505.617978	347.62	74.47						
540	0.1318359375	0.4350585938	1518.56018	347.36	74.21						
544	0.1328125	0.43828125	1531.531532	347.11	73.96						
548	0.1337890625	0.4415039063	1544.532131	346.86	73.71						
552	0.134765625	0.4447265625	1557.562077	346.61	73.46						
556	0.1357421875	0.4479492188	1570.621469	346.36	73.21						
560	0.13671875	0.451171875	1583.710407	346.11	72.96						
564	0.1376953125	0.4543945313	1596.828992	345.87	72.72						
568	0.138671875	0.4576171875	1609.977324	345.63	72.48						
572	0.1396484375	0.4608398438	1623.155505	345.39	72.24						
576	0.140625	0.4640625	1636.363636	345.15	72.00						
580	0.1416015625	0.4672851563	1649.60182	344.91	71.76						
584	0.142578125	0.4705078125	1662.870159	344.67	71.52						
588	0.1435546875	0.4737304688	1676.168757	344.44	71.29						
592	0.14453125	0.476953125	1689.497717	344.21	71.06						
596	0.1455078125	0.4801757813	1702.857143	343.98	70.83						
600	0.146484375	0.4833984375	1716.24714	343.75	70.60						
604	0.1474609375	0.4866210938	1729.667812	343.52	70.37						
608	0.1484375	0.48984375	1743.119266	343.29	70.14						
612	0.1494140625	0.4930664063	1756.601607	343.07	69.92						
616	0.150390625	0.4962890625	1770.114943	342.84	69.69						
620	0.1513671875	0.4995117188	1783.659379	342.62	69.47						
624	0.15234375	0.502734375	1797.235023	342.40	69.25						
628	0.1533203125	0.5059570313	1810.841984	342.18	69.03						
632	0.154296875	0.5091796875	1824.48037	341.96	68.81						
636	0.1552734375	0.5124023438	1838.150289	341.75	68.60						
640	0.15625	0.515625	1851.851852	341.53	68.38						
644	0.1572265625	0.5188476563	1865.585168	341.32	68.17						
648	0.158203125	0.5220703125	1879.350348	341.11	67.96						
652	0.1591796875	0.5252929688	1893.147503	340.89	67.74						
656	0.16015625	0.528515625	1906.976744	340.68	67.53						
660	0.1611328125	0.5317382813	1920.838184	340.48	67.33						
664	0.162109375	0.5349609375	1934.731935	340.27	67.12						
668	0.1630859375	0.5381835938	1948.65811	340.06	66.91						
672	0.1640625	0.54140625	1962.616822	339.86	66.71						
676	0.1650390625	0.5446289063	1976.608187	339.65	66.50						
680	0.166015625	0.5478515625	1990.632319	339.45	66.30						
684	0.1669921875	0.5510742188	2004.689332	339.25	66.10						
688	0.16796875	0.554296875	2018.779343	339.05	65.90						
692	0.1689453125	0.5575195313	2032.902468	338.85	65.70						
696	0.169921875	0.5607421875	2047.058824	338.65	65.50						
700	0.1708984375	0.5639648438	2061.248528	338.46	65.31						
704	0.171875	0.5671875	2075.471698	338.26	65.11						
708	0.1728515625	0.5704101563	2089.728453	338.06	64.91						
712	0.173828125	0.5736328125	2104.018913	337.87	64.72						
716	0.1748046875	0.5768554688	2118.343195	337.68	64.53						
720	0.17578125	0.580078125	2132.701422	337.49	64.34						
724	0.1767578125	0.5833007813	2147.093713	337.30	64.15						
728	0.177734375	0.5865234375	2161.52019	337.11	63.96						
732	0.1787109375	0.5897460938	2175.980975	336.92	63.77						
736	0.1796875	0.59296875	2190.47619	336.73	63.58						
740	0.1806640625	0.5961914063	2205.005959	336.54	63.39						
744	0.181640625	0.5994140625	2219.570406	336.36	63.21						
748	0.1826171875	0.6026367188	2234.169654	336.17	63.02						
752	0.18359375	0.605859375	2248.803828	335.99	62.84						
756	0.1845703125	0.6090820313	2263.473054	335.81	62.66						
760	0.185546875	0.6123046875	2278.177458	335.62	62.47						
764	0.1865234375	0.6155273438	2292.917167	335.44	62.29						
768	0.1875	0.61875	2307.692308	335.26	62.11						
772	0.1884765625	0.6219726563	2322.503008	335.08	61.93						
776	0.189453125	0.6251953125	2337.349398	334.91	61.76						
780	0.1904296875	0.6284179688	2352.231604	334.73	61.58						
784	0.19140625	0.631640625	2367.149758	334.55	61.40						
788	0.1923828125	0.6348632813	2382.10399	334.38	61.23						
792	0.193359375	0.6380859375	2397.094431	334.20	61.05						
796	0.1943359375	0.6413085938	2412.121212	334.03	60.88						
800	0.1953125	0.64453125	2427.184466	333.85	60.70						
804	0.1962890625	0.6477539063	2442.284326	333.68	60.53						
808	0.197265625	0.6509765625	2457.420925	333.51	60.36						
812	0.1982421875	0.6541992188	2472.594397	333.34	60.19						
816	0.19921875	0.657421875	2487.804878	333.17	60.02						
820	0.2001953125	0.6606445313	2503.052503	333.00	59.85						
824	0.201171875	0.6638671875	2518.337408	332.83	59.68						
828	0.2021484375	0.6670898438	2533.659731	332.66	59.51						
832	0.203125	0.6703125	2549.019608	332.50	59.35						
836	0.2041015625	0.6735351563	2564.417178	332.33	59.18						
840	0.205078125	0.6767578125	2579.85258	332.16	59.01						
844	0.2060546875	0.6799804688	2595.325953	332.00	58.85						
848	0.20703125	0.683203125	2610.837438	331.83	58.68						
852	0.2080078125	0.6864257813	2626.387176	331.67	58.52						
856	0.208984375	0.6896484375	2641.975309	331.51	58.36						
860	0.2099609375	0.6928710938	2657.601978	331.35	58.20						
864	0.2109375	0.69609375	2673.267327	331.19	58.04						
868	0.2119140625	0.6993164063	2688.971499	331.02	57.87						
872	0.212890625	0.7025390625	2704.71464	330.86	57.71						
876	0.2138671875	0.7057617188	2720.496894	330.71	57.56						
880	0.21484375	0.708984375	2736.318408	330.55	57.40						
884	0.2158203125	0.7122070313	2752.179328	330.39	57.24						
888	0.216796875	0.7154296875	2768.0798	330.23	57.08						
892	0.2177734375	0.7186523438	2784.019975	330.08	56.93						
896	0.21875	0.721875	2800	329.92	56.77						
900	0.2197265625	0.7250976563	2816.020025	329.76	56.61						
904	0.220703125	0.7283203125	2832.080201	329.61	56.46						
908	0.2216796875	0.7315429688	2848.180678	329.45	56.30						
912	0.22265625	0.734765625	2864.321608	329.30	56.15						
916	0.2236328125	0.7379882813	2880.503145	329.15	56.00						
920	0.224609375	0.7412109375	2896.725441	329.00	55.85						
924	0.2255859375	0.7444335938	2912.988651	328.84	55.69						
928	0.2265625	0.74765625	2929.292929	328.69	55.54						
932	0.2275390625	0.7508789063	2945.638432	328.54	55.39						
936	0.228515625	0.7541015625	2962.025316	328.39	55.24						
940	0.2294921875	0.7573242188	2978.453739	328.24	55.09						
944	0.23046875	0.760546875	2994.923858	328.09	54.94						
948	0.2314453125	0.7637695313	3011.435832	327.95	54.80						
952	0.232421875	0.7669921875	3027.989822	327.80	54.65						
956	0.2333984375	0.7702148438	3044.585987	327.65	54.50						
960	0.234375	0.7734375	3061.22449	327.50	54.35						
964	0.2353515625	0.7766601563	3077.905492	327.36	54.21						
968	0.236328125	0.7798828125	3094.629156	327.21	54.06						
972	0.2373046875	0.7831054688	3111.395647	327.07	53.92						
976	0.23828125	0.786328125	3128.205128	326.92	53.77						
980	0.2392578125	0.7895507813	3145.057766	326.78	53.63						
984	0.240234375	0.7927734375	3161.953728	326.63	53.48						
988	0.2412109375	0.7959960938	3178.893179	326.49	53.34						
992	0.2421875	0.79921875	3195.876289	326.35	53.20						
996	0.2431640625	0.8024414063	3212.903226	326.21	53.06						
1000	0.244140625	0.8056640625	3229.97416	326.07	52.92						
1004	0.2451171875	0.8088867188	3247.089263	325.92	52.77						
1008	0.24609375	0.812109375	3264.248705	325.78	52.63						
1012	0.2470703125	0.8153320313	3281.452659	325.64	52.49						
1016	0.248046875	0.8185546875	3298.701299	325.50	52.35						
1020	0.2490234375	0.8217773438	3315.994798	325.37	52.22						
1024	0.25	0.825	3333.333333	325.23	52.08						
1028	0.2509765625	0.8282226563	3350.71708	325.09	51.94						
1032	0.251953125	0.8314453125	3368.146214	324.95	51.80						
1036	0.2529296875	0.8346679688	3385.620915	324.81	51.66						
1040	0.25390625	0.837890625	3403.141361	324.68	51.53						
1044	0.2548828125	0.8411132813	3420.707733	324.54	51.39						
1048	0.255859375	0.8443359375	3438.32021	324.40	51.25						
1052	0.2568359375	0.8475585938	3455.978975	324.27	51.12						
1056	0.2578125	0.85078125	3473.684211	324.13	50.98						
1060	0.2587890625	0.8540039063	3491.4361	324.00	50.85						
1064	0.259765625	0.8572265625	3509.234828	323.86	50.71						
1068	0.2607421875	0.8604492188	3527.080581	323.73	50.58						
1072	0.26171875	0.863671875	3544.973545	323.60	50.45						
1076	0.2626953125	0.8668945313	3562.913907	323.46	50.31						
1080	0.263671875	0.8701171875	3580.901857	323.33	50.18						
1084	0.2646484375	0.8733398438	3598.937583	323.20	50.05						
1088	0.265625	0.8765625	3617.021277	323.07	49.92						
1092	0.2666015625	0.8797851563	3635.153129	322.94	49.79						
1096	0.267578125	0.8830078125	3653.333333	322.81	49.66						
1100	0.2685546875	0.8862304688	3671.562083	322.68	49.53						
1104	0.26953125	0.889453125	3689.839572	322.55	49.40						
